https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1641096000000,2022-01-02 04:00:00,LTC/USD,150.35,153.3,147.99,149.65,7487.27248,1120470.326632
1641009600000,2022-01-01 04:00:00,LTC/USD,147.83,151.0,146.63,150.35,9348.7834,1405589.58419
1640923200000,2021-12-31 04:00:00,LTC/USD,148.35,152.6,143.66,147.83,12610.84951,1864261.8830633
1640836800000,2021-12-30 04:00:00,LTC/USD,144.9,150.01,144.9,148.35,9152.67404,1357799.193834
1640750400000,2021-12-29 04:00:00,LTC/USD,148.66,150.94,142.88,144.9,18176.86205,2633827.311045
1640664000000,2021-12-28 04:00:00,LTC/USD,151.23,153.41,144.65,148.66,22208.276,3301482.3101600003
1640577600000,2021-12-27 04:00:00,LTC/USD,156.75,161.24,149.49,151.23,14858.15578,2246998.8986094
1640491200000,2021-12-26 04:00:00,LTC/USD,153.96,157.82,153.47,156.75,10377.31097,1626643.4945475
1640404800000,2021-12-25 04:00:00,LTC/USD,161.12,163.7,153.24,153.96,17584.5408,2707315.9015679997
1640318400000,2021-12-24 04:00:00,LTC/USD,165.49,165.94,160.24,161.12,33754.278,5438489.27136
1640232000000,2021-12-23 04:00:00,LTC/USD,157.46,166.8,153.82,165.49,64186.91239,10622292.1314211
1640145600000,2021-12-22 04:00:00,LTC/USD,156.33,158.59,153.24,157.46,15315.29446,2411546.2656716
1640059200000,2021-12-21 04:00:00,LTC/USD,153.59,157.0,151.85,156.33,21127.00829,3302785.2059757006
1639972800000,2021-12-20 04:00:00,LTC/USD,154.86,157.42,145.35,153.59,52565.6546,8073558.890014
1639886400000,2021-12-19 04:00:00,LTC/USD,154.43,161.01,151.16,154.86,75023.52131,11618142.5100666
1639800000000,2021-12-18 04:00:00,LTC/USD,146.53,156.13,145.46,154.43,15359.33588,2371942.2399484003
1639713600000,2021-12-17 04:00:00,LTC/USD,149.74,150.98,141.27,146.53,24436.67085,3580705.3796504997
1639627200000,2021-12-16 04:00:00,LTC/USD,153.34,153.34,148.25,149.74,1239.13379,185547.89371460004
