https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1641787200000,2022-01-10 04:00:00,DOGE/USD,0.15107,0.15212,0.13704,0.14571,19231955.683855,2802288.2626945125
1641700800000,2022-01-09 04:00:00,DOGE/USD,0.15154,0.15377,0.14857,0.15107,4422926.951039,668171.5744934619
1641614400000,2022-01-08 04:00:00,DOGE/USD,0.15652,0.15786,0.14528,0.15154,14736744.049107,2233206.193201675
1641528000000,2022-01-07 04:00:00,DOGE/USD,0.15304,0.15801,0.14922,0.15652,17782308.408128,2783286.9120401945
1641441600000,2022-01-06 04:00:00,DOGE/USD,0.15489,0.16202,0.1518,0.15304,9553163.510252,1462016.1436089664
1641355200000,2022-01-05 04:00:00,DOGE/USD,0.16979,0.17067,0.14751,0.15489,14986113.469131,2321199.1152337007
1641268800000,2022-01-04 04:00:00,DOGE/USD,0.16986,0.1725,0.16671,0.16979,14889982.194377,2528170.0767832706
1641182400000,2022-01-03 04:00:00,DOGE/USD,0.17192,0.1734,0.16756,0.16986,3041303.10815,516595.7459503591
1641096000000,2022-01-02 04:00:00,DOGE/USD,0.17271,0.17633,0.17069,0.17192,2567188.889431,441351.11387097754
1641009600000,2022-01-01 04:00:00,DOGE/USD,0.17147,0.17374,0.16968,0.17271,3545594.455405,612359.6183929975
1640923200000,2021-12-31 04:00:00,DOGE/USD,0.17145,0.17573,0.16625,0.17147,15086666.541929,2586910.7119445656
1640836800000,2021-12-30 04:00:00,DOGE/USD,0.16903,0.17573,0.16881,0.17145,12334298.509649,2114715.479479321
1640750400000,2021-12-29 04:00:00,DOGE/USD,0.17678,0.17709,0.16521,0.16903,14013615.08171,2368721.3572614416
1640664000000,2021-12-28 04:00:00,DOGE/USD,0.18126,0.18228,0.1718,0.17678,13353939.566905,2360709.436637466
1640577600000,2021-12-27 04:00:00,DOGE/USD,0.19079,0.1929,0.1784,0.18126,11708618.686236,2122304.2230671374
1640491200000,2021-12-26 04:00:00,DOGE/USD,0.18608,0.19257,0.18526,0.19079,5313867.010752,1013832.686981374
1640404800000,2021-12-25 04:00:00,DOGE/USD,0.18736,0.19556,0.18563,0.18608,15500189.262842,2884275.218029639
