https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume BTC
1648008000000,2022-03-23 04:00:00,DOGE/BTC,2.9e-06,3.23e-06,2.9e-06,3.2e-06,94370.74570925,0.3019863862696
1647921600000,2022-03-22 04:00:00,DOGE/BTC,2.9e-06,2.92e-06,2.85e-06,2.9e-06,108727.55251817,0.315309902302693
1647835200000,2022-03-21 04:00:00,DOGE/BTC,2.93e-06,2.93e-06,2.88e-06,2.9e-06,15867.08085166,0.046014534469814
1647748800000,2022-03-20 04:00:00,DOGE/BTC,2.93e-06,2.93e-06,2.86e-06,2.93e-06,133995.50244921,0.3926068221761853
1647662400000,2022-03-19 04:00:00,DOGE/BTC,2.84e-06,2.99e-06,2.84e-06,2.93e-06,149454.12259989,0.43790057921767767
1647576000000,2022-03-18 04:00:00,DOGE/BTC,2.84e-06,2.87e-06,2.81e-06,2.84e-06,239857.1737909,0.681194373566156
1647489600000,2022-03-17 04:00:00,DOGE/BTC,2.85e-06,2.9e-06,2.84e-06,2.84e-06,4393640.64067654,12.477939419521373
1647403200000,2022-03-16 04:00:00,DOGE/BTC,2.88e-06,2.88e-06,2.8e-06,2.85e-06,184722.63730976,0.526459516332816
1647316800000,2022-03-15 04:00:00,DOGE/BTC,2.89e-06,2.91e-06,2.78e-06,2.88e-06,114277.18876068,0.3291183036307584
1647230400000,2022-03-14 04:00:00,DOGE/BTC,2.92e-06,3.13e-06,2.86e-06,2.89e-06,81251.13463564,0.2348157790969996
1647144000000,2022-03-13 04:00:00,DOGE/BTC,2.96e-06,2.98e-06,2.89e-06,2.92e-06,77010.92322839,0.22487189582689882
1647057600000,2022-03-12 04:00:00,DOGE/BTC,2.96e-06,2.99e-06,2.94e-06,2.96e-06,86853.75549325,0.25708711626002
1646971200000,2022-03-11 04:00:00,DOGE/BTC,2.99e-06,3.01e-06,2.94e-06,2.96e-06,63109.96941014,0.18680550945401442
1646884800000,2022-03-10 04:00:00,DOGE/BTC,2.92e-06,3.02e-06,2.91e-06,2.99e-06,95652.8318808,0.286001967323592
1646798400000,2022-03-09 04:00:00,DOGE/BTC,2.95e-06,2.95e-06,2.86e-06,2.92e-06,12788.2600996,0.037341719490832
1646712000000,2022-03-08 04:00:00,DOGE/BTC,3.08e-06,3.08e-06,2.94e-06,2.95e-06,8774.2093147,0.025883917478365
1646625600000,2022-03-07 04:00:00,DOGE/BTC,3.15e-06,3.16e-06,3.05e-06,3.08e-06,119250.53630093,0.36729165180686446
1646539200000,2022-03-06 04:00:00,DOGE/BTC,3.16e-06,3.21e-06,3.11e-06,3.15e-06,142884.40509192,0.45008587603954797
1646452800000,2022-03-05 04:00:00,DOGE/BTC,3.12e-06,3.19e-06,3.12e-06,3.16e-06,16438.00849625,0.05194410684815
1646366400000,2022-03-04 04:00:00,DOGE/BTC,3.03e-06,3.14e-06,3.03e-06,3.12e-06,44731.03465126,0.1395608281119312
1646280000000,2022-03-03 04:00:00,DOGE/BTC,3.05e-06,3.07e-06,3.01e-06,3.03e-06,39035.33067474,0.11827705194446218
1646193600000,2022-03-02 04:00:00,DOGE/BTC,3.04e-06,3.05e-06,3.01e-06,3.05e-06,32228.76597013,0.0982977362088965
1646107200000,2022-03-01 04:00:00,DOGE/BTC,3.09e-06,3.27e-06,2.98e-06,3.04e-06,203272.03348074,0.6179469817814497
1646020800000,2022-02-28 04:00:00,DOGE/BTC,3.25e-06,3.26e-06,3e-06,3.09e-06,63882.03694505,0.1973954941602045
1645934400000,2022-02-27 04:00:00,DOGE/BTC,3.24e-06,3.28e-06,3.2e-06,3.25e-06,56559.07446983,0.18381699202694748
1645848000000,2022-02-26 04:00:00,DOGE/BTC,3.27e-06,3.29e-06,3.22e-06,3.24e-06,28060.59502657,0.0909163278860868
1645761600000,2022-02-25 04:00:00,DOGE/BTC,3.17e-06,3.28e-06,3.15e-06,3.27e-06,40674.29744596,0.1330049526482892
1645675200000,2022-02-24 04:00:00,DOGE/BTC,3.31e-06,3.31e-06,3.16e-06,3.17e-06,6045.86257794,0.0191653843720698
1645588800000,2022-02-23 04:00:00,DOGE/BTC,3.47e-06,3.48e-06,3.27e-06,3.31e-06,237574.7624615,0.7863724637475651
1645502400000,2022-02-22 04:00:00,DOGE/BTC,3.43e-06,3.47e-06,3.4e-06,3.47e-06,45136.31652811,0.1566230183525417
1645416000000,2022-02-21 04:00:00,DOGE/BTC,3.57e-06,3.66e-06,3.41e-06,3.43e-06,78813.79249701,0.27033130826474433
1645329600000,2022-02-20 04:00:00,DOGE/BTC,3.49e-06,3.6e-06,3.47e-06,3.57e-06,202573.40922307,0.7231870709263599
1645243200000,2022-02-19 04:00:00,DOGE/BTC,3.51e-06,3.63e-06,3.47e-06,3.49e-06,145024.09089055,0.5061340772080195
1645156800000,2022-02-18 04:00:00,DOGE/BTC,3.45e-06,3.54e-06,3.43e-06,3.51e-06,44269.11215511,0.15538458366443608
1645070400000,2022-02-17 04:00:00,DOGE/BTC,3.4e-06,3.47e-06,3.37e-06,3.45e-06,69988.47699738,0.241460245640961
1644984000000,2022-02-16 04:00:00,DOGE/BTC,3.41e-06,3.41e-06,3.33e-06,3.4e-06,34160.2730159,0.11614492825405999
1644897600000,2022-02-15 04:00:00,DOGE/BTC,3.41e-06,3.42e-06,3.37e-06,3.41e-06,64119.50122663,0.2186474991828083
1644811200000,2022-02-14 04:00:00,DOGE/BTC,3.46e-06,3.48e-06,3.4e-06,3.41e-06,73271.59589789,0.2498561420118049
1644724800000,2022-02-13 04:00:00,DOGE/BTC,3.43e-06,3.71e-06,3.4e-06,3.46e-06,229534.50338001,0.7941893816948346
1644638400000,2022-02-12 04:00:00,DOGE/BTC,3.44e-06,3.44e-06,3.36e-06,3.43e-06,44276.54383668,0.15186854535981242
1644552000000,2022-02-11 04:00:00,DOGE/BTC,3.5e-06,3.54e-06,3.39e-06,3.44e-06,42401.55271916,0.1458613413539104
1644465600000,2022-02-10 04:00:00,DOGE/BTC,3.59e-06,3.6e-06,3.43e-06,3.5e-06,161251.7038272,0.5643809633951999
1644379200000,2022-02-09 04:00:00,DOGE/BTC,3.59e-06,3.6e-06,3.59e-06,3.59e-06,5670.69065918,0.0203577794664562
1644292800000,2022-02-08 04:00:00,DOGE/BTC,3.74e-06,3.76e-06,3.55e-06,3.59e-06,132690.2971946,0.47635816692861394
1644206400000,2022-02-07 04:00:00,DOGE/BTC,3.73e-06,3.91e-06,3.65e-06,3.74e-06,153482.4345201,0.5740243051051741
1644120000000,2022-02-06 04:00:00,DOGE/BTC,3.56e-06,3.79e-06,3.51e-06,3.73e-06,77300.39386572,0.2883304691191356
1644033600000,2022-02-05 04:00:00,DOGE/BTC,3.55e-06,3.61e-06,3.53e-06,3.56e-06,59373.69918064,0.21137036908307838
1643947200000,2022-02-04 04:00:00,DOGE/BTC,3.69e-06,3.71e-06,3.52e-06,3.55e-06,66811.0297947,0.237179155771185
1643860800000,2022-02-03 04:00:00,DOGE/BTC,3.75e-06,3.75e-06,3.68e-06,3.69e-06,34616.4421132,0.127734671397708
1643774400000,2022-02-02 04:00:00,DOGE/BTC,3.7e-06,3.75e-06,3.7e-06,3.75e-06,17616.06611914,0.066060247946775
1643688000000,2022-02-01 04:00:00,DOGE/BTC,3.72e-06,3.73e-06,3.65e-06,3.7e-06,37545.50798064,0.13891837952836802
1643601600000,2022-01-31 04:00:00,DOGE/BTC,3.73e-06,3.76e-06,3.66e-06,3.72e-06,20874.50605603,0.0776531625284316
1643515200000,2022-01-30 04:00:00,DOGE/BTC,3.73e-06,3.78e-06,3.66e-06,3.73e-06,65585.30664297,0.24463319377827808
1643428800000,2022-01-29 04:00:00,DOGE/BTC,3.78e-06,3.8e-06,3.72e-06,3.73e-06,106984.43878653,0.39905195667375687
1643342400000,2022-01-28 04:00:00,DOGE/BTC,3.78e-06,3.82e-06,3.73e-06,3.78e-06,64564.69457879,0.24405454550782618
1643256000000,2022-01-27 04:00:00,DOGE/BTC,3.92e-06,3.93e-06,3.78e-06,3.78e-06,144934.41766968,0.5478520987913904
1643169600000,2022-01-26 04:00:00,DOGE/BTC,3.89e-06,3.96e-06,3.86e-06,3.92e-06,126925.51869483,0.49754803328373354
1643083200000,2022-01-25 04:00:00,DOGE/BTC,3.75e-06,4.1e-06,3.7e-06,3.89e-06,312727.93359028,1.2165116616661893
1642996800000,2022-01-24 04:00:00,DOGE/BTC,3.94e-06,3.94e-06,3.69e-06,3.75e-06,184325.88162574,0.691222056096525
1642910400000,2022-01-23 04:00:00,DOGE/BTC,3.9e-06,4.01e-06,3.84e-06,3.94e-06,103271.00307654,0.40688775212156764
1642824000000,2022-01-22 04:00:00,DOGE/BTC,3.92e-06,4e-06,3.52e-06,3.9e-06,276272.52981741,1.077462866287899
1642737600000,2022-01-21 04:00:00,DOGE/BTC,3.89e-06,3.98e-06,3.86e-06,3.92e-06,114725.26227242,0.4497230281078864
1642651200000,2022-01-20 04:00:00,DOGE/BTC,3.93e-06,3.94e-06,3.76e-06,3.89e-06,119365.907882,0.46433338166098
1642564800000,2022-01-19 04:00:00,DOGE/BTC,3.98e-06,3.98e-06,3.87e-06,3.93e-06,36944.91788498,0.14519352728797139
1642478400000,2022-01-18 04:00:00,DOGE/BTC,4e-06,4.08e-06,3.89e-06,3.98e-06,47085.92232126,0.1874019708386148
1642392000000,2022-01-17 04:00:00,DOGE/BTC,3.98e-06,4.12e-06,3.94e-06,4e-06,98949.71402666,0.39579885610664
1642305600000,2022-01-16 04:00:00,DOGE/BTC,4.2e-06,4.26e-06,3.98e-06,3.98e-06,83311.79143854,0.33158092992538923
1642219200000,2022-01-15 04:00:00,DOGE/BTC,4.43e-06,4.52e-06,4.17e-06,4.2e-06,219906.00030021,0.9236052012608819
1642132800000,2022-01-14 04:00:00,DOGE/BTC,4.13e-06,4.94e-06,4.11e-06,4.43e-06,357805.69935692,1.5850792481511558
1642046400000,2022-01-13 04:00:00,DOGE/BTC,3.82e-06,4.25e-06,3.79e-06,4.13e-06,202171.76063632,0.8349693714280016
1641960000000,2022-01-12 04:00:00,DOGE/BTC,3.59e-06,3.83e-06,3.59e-06,3.82e-06,28635.63608183,0.10938812983259061
1641873600000,2022-01-11 04:00:00,DOGE/BTC,3.44e-06,3.98e-06,3.41e-06,3.59e-06,285666.71095223,1.0255434923185056
1641787200000,2022-01-10 04:00:00,DOGE/BTC,3.59e-06,3.62e-06,3.4e-06,3.44e-06,94750.76803474,0.3259426420395056
